migration_wave,name,github_name,gitlab_url,gitlab_group,layer,domain,production_branch_hint,integration_branch_hint,has_pipeline,has_unit_test,stack_hint,has_docker,risk,shared_dependency_review,github_url,migration_status,notes
BE0,Mitt.SystemCore,mitf-mitt-systemcore,http://10.10.20.51/back-end/core-services/mitt.systemcore,back-end/core-services,backend,core-services,,,no,unknown,dotnet,unknown,high,yes,https://github.com/mitf-dev-space/mitf-mitt-systemcore,planned,Shared core service consumed by many backends. Branch hints require GitLab verification.
BE0,SMSChannel,mitf-smschannel,http://10.10.20.51/back-end/core-services/smschannel,back-end/core-services,backend,core-services,,,no,unknown,dotnet,unknown,high,yes,https://github.com/mitf-dev-space/mitf-smschannel,planned,Notification core; platform target mitf_notification_system.
BE0,Mitf.ReportingApii,mitf-reportingapii,http://10.10.20.51/back-end/reporting/mitf.reportingapii,back-end/reporting,backend,reporting,,,no,unknown,unknown,unknown,low,no,https://github.com/mitf-dev-space/mitf-reportingapii,planned,Pilot candidate; verify stack and branches before CI.
BE0,Mitf.Providers.DocumentGeneratorApi,mitf-providers-documentgeneratorapi,http://10.10.20.51/back-end/providers/mitf.providers.documentgeneratorapi,back-end/providers,backend,providers,,,no,unknown,unknown,unknown,low,no,https://github.com/mitf-dev-space/mitf-providers-documentgeneratorapi,planned,Pilot candidate; document generation utility.
BE0,DPHProject,mitf-dphproject,http://10.10.20.51/back-end/other-projects/dphproject,back-end/other-projects,backend,backend-other,,,no,unknown,unknown,unknown,low,no,https://github.com/mitf-dev-space/mitf-dphproject,planned,Pilot candidate; purpose unclear from name.
BE0,SoundBox,mitf-soundbox,http://10.10.20.51/back-end/other-projects/soundbox,back-end/other-projects,backend,backend-other,,,no,unknown,unknown,unknown,low,no,https://github.com/mitf-dev-space/mitf-soundbox,planned,Pilot candidate; likely device/audio integration.
BE0,Mitf.ExpensesManagement,mitf-expensesmanagement,http://10.10.20.51/back-end/other-projects/mitf.expensesmanagement,back-end/other-projects,backend,backend-other,,,no,unknown,unknown,unknown,low,no,https://github.com/mitf-dev-space/mitf-expensesmanagement,planned,Standalone domain service.
BE0,Mitf.PaymentQueries,mitf-paymentqueries,http://10.10.20.51/back-end/other-projects/mitf.paymentqueries,back-end/other-projects,backend,backend-other,,,no,unknown,unknown,unknown,low,no,https://github.com/mitf-dev-space/mitf-paymentqueries,planned,Read-side query service; verify DB coupling.
BE0,Mitf.CustomerControl,mitf-customercontrol,http://10.10.20.51/back-end/other-projects/mitf.customercontrol,back-end/other-projects,backend,backend-other,,,no,unknown,unknown,unknown,low,no,https://github.com/mitf-dev-space/mitf-customercontrol,planned,Customer state service.
BE0,Mitf.PortalBridge,mitf-portalbridge,http://10.10.20.51/back-end/mitf.portalbridge,back-end,backend,backend-other,,,no,unknown,unknown,unknown,low,no,https://github.com/mitf-dev-space/mitf-portalbridge,planned,Bridge service; verify upstream consumers.
BE0,Mitf.RequestApplicant.RequestApplicant,mitf-requestapplicant-requestapplicant,http://10.10.20.51/back-end/mitf.requestapplicant.requestapplicant,back-end,backend,backend-other,,,no,unknown,unknown,unknown,low,no,https://github.com/mitf-dev-space/mitf-requestapplicant-requestapplicant,planned,Doubled name segment; confirm canonical name on GitLab.
BE1,Mitf.Office.CustomerManagement,mitf-office-customermanagement,http://10.10.20.51/back-end/other-projects/office/mitf.office.customer-management,back-end/other-projects/office,backend,office,,,no,unknown,unknown,unknown,medium,yes,https://github.com/mitf-dev-space/mitf-office-customermanagement,planned,Office platform target dev-office-assistance.
BE1,MITF.Office.Government,mitf-office-government,http://10.10.20.51/back-end/other-projects/office/mitf.office.government,back-end/other-projects/office,backend,office,,,no,unknown,unknown,unknown,medium,yes,https://github.com/mitf-dev-space/mitf-office-government,planned,Office platform target dev-office-assistance.
BE1,voucher.external,mitf-voucher-external,http://10.10.20.51/back-end/other-projects/voucher-provider/voucher.external,back-end/other-projects/voucher-provider,backend,voucher,,,no,unknown,unknown,unknown,medium,yes,https://github.com/mitf-dev-space/mitf-voucher-external,planned,Voucher platform target voucher-provider-workspace.
BE1,voucher.internal,mitf-voucher-internal,http://10.10.20.51/back-end/other-projects/voucher-provider/voucher.internal,back-end/other-projects/voucher-provider,backend,voucher,,,no,unknown,unknown,unknown,medium,yes,https://github.com/mitf-dev-space/mitf-voucher-internal,planned,Voucher platform target voucher-provider-workspace.
BE1,voucher.management,mitf-voucher-management,http://10.10.20.51/back-end/other-projects/voucher-provider/voucher.management,back-end/other-projects/voucher-provider,backend,voucher,,,no,unknown,unknown,unknown,medium,yes,https://github.com/mitf-dev-space/mitf-voucher-management,planned,Voucher platform target voucher-provider-workspace.
BE1,Voucher.PurchaseOrchestrator,mitf-voucher-purchaseorchestrator,http://10.10.20.51/back-end/other-projects/voucher-provider/voucher.purchaseorchestrator,back-end/other-projects/voucher-provider,backend,voucher,,,no,unknown,unknown,unknown,medium,yes,https://github.com/mitf-dev-space/mitf-voucher-purchaseorchestrator,planned,Orchestrates voucher internal/external flows.
BE2,Masarat.Salaries.Adapter,masarat-salaries-adapter,http://10.10.20.51/back-end/gateways/masarat.salaries.adapter,back-end/gateways,backend,gateways,,,no,unknown,unknown,unknown,medium,yes,https://github.com/mitf-dev-space/masarat-salaries-adapter,planned,Third-party salaries gateway.
BE2,Masarat.Salaries.MWAdapter,masarat-salaries-mwadapter,http://10.10.20.51/back-end/gateways/masarat.salaries.mwadapter,back-end/gateways,backend,gateways,,,no,unknown,unknown,unknown,medium,yes,https://github.com/mitf-dev-space/masarat-salaries-mwadapter,planned,Salaries middleware adapter.
BE2,Mitf.BackOffice,mitf-backoffice,http://10.10.20.51/back-end/gateways/mitf.backoffice,back-end/gateways,backend,gateways,,,no,unknown,unknown,unknown,high,yes,https://github.com/mitf-dev-space/mitf-backoffice,planned,Back-office gateway; verify auth and admin coupling.
BE2,Mitf.BankBackOffice.API,mitf-bankbackoffice-api,http://10.10.20.51/back-end/gateways/mitf.backoffice.bankbackoffice.core,back-end/gateways,backend,gateways,,,no,unknown,unknown,unknown,high,yes,https://github.com/mitf-dev-space/mitf-bankbackoffice-api,planned,Per-bank dev branches reported; reconcile branch model before normalization.
BE2,Mitf.OnlinePayment,mitf-onlinepayment,http://10.10.20.51/back-end/gateways/mitf.onlinepayment,back-end/gateways,backend,gateways,,,no,unknown,unknown,unknown,high,yes,https://github.com/mitf-dev-space/mitf-onlinepayment,planned,Payment platform target mitf-online-payment.
BE2,Mitf.Whatsapp.Gateway,mitf-whatsapp-gateway,http://10.10.20.51/back-end/gateways/Mitf.Whatsapp.Gateway,back-end/gateways,backend,gateways,,,no,unknown,unknown,unknown,medium,yes,https://github.com/mitf-dev-space/mitf-whatsapp-gateway,planned,Notification platform target mitf_notification_system.
BE2,SIBSmsGateway,mitf-sibsmsgateway,http://10.10.20.51/back-end/gateways/SIBSmsGateway,back-end/gateways,backend,gateways,,,no,unknown,unknown,unknown,medium,yes,https://github.com/mitf-dev-space/mitf-sibsmsgateway,planned,Notification platform target mitf_notification_system.
BE2,MobileChannel,mitf-mobilechannel,http://10.10.20.51/back-end/gateways/mobile/mobilechannel,back-end/gateways/mobile,backend,gateways,,,no,unknown,unknown,unknown,high,yes,https://github.com/mitf-dev-space/mitf-mobilechannel,planned,Cross-track dependency; mobile apps need this API for E2E.
BE3,Mitf.PayBill,mitf-paybill,http://10.10.20.51/back-end/transactions/paybill/Mitf.PayBill,back-end/transactions/paybill,backend,transactions,,,no,unknown,unknown,unknown,high,yes,https://github.com/mitf-dev-space/mitf-paybill,planned,Bill payment transaction service.
BE3,Mitf.BankAdapter,mitf-bankadapter,http://10.10.20.51/back-end/transactions/mitf.bankadapter,back-end/transactions,backend,transactions,,,no,unknown,unknown,unknown,high,yes,https://github.com/mitf-dev-space/mitf-bankadapter,planned,Bank integration adapter; per-bank branching likely.
BE3,Mitf.OnePayAdapter,mitf-onepayadapter,http://10.10.20.51/back-end/transactions/mitf.onepayadapter,back-end/transactions,backend,transactions,,,no,unknown,unknown,unknown,high,yes,https://github.com/mitf-dev-space/mitf-onepayadapter,planned,OnePay integration adapter.
BE3,Mitf.OnePaySettlements,mitf-onepaysettlements,http://10.10.20.51/back-end/transactions/Mitf.OnePaySettlements,back-end/transactions,backend,transactions,,,no,unknown,unknown,unknown,high,yes,https://github.com/mitf-dev-space/mitf-onepaysettlements,planned,Settlements service; financial amounts require security review.
BE3,Mitf.Transactions.CrossBankS2MAdapter,mitf-transactions-crossbanks2madapter,http://10.10.20.51/back-end/transactions/mitf.transactions.crossbanks2madapter,back-end/transactions,backend,transactions,,,no,unknown,unknown,unknown,high,yes,https://github.com/mitf-dev-space/mitf-transactions-crossbanks2madapter,planned,Cross-bank S2M adapter.
BE3,Mitf.Transactions.ExternalS2MAdapter,mitf-transactions-externals2madapter,http://10.10.20.51/back-end/transactions/mitf.transactions.externals2madapter,back-end/transactions,backend,transactions,,,no,unknown,unknown,unknown,high,yes,https://github.com/mitf-dev-space/mitf-transactions-externals2madapter,planned,External S2M adapter.
BE3,Mitf.ArchiveTransactionsApi,mitf-archivetransactionsapi,http://10.10.20.51/back-end/transactions/mitf.archivetransactionsapi,back-end/transactions,backend,transactions,,,no,unknown,unknown,unknown,medium,yes,https://github.com/mitf-dev-space/mitf-archivetransactionsapi,planned,Archive/read-side transactions API.
BE3,Mitf.Transactions.TransactionsHubApi,mitf-transactions-transactionshubapi,http://10.10.20.51/back-end/transactions/mitf.transactions.transactionshubapi,back-end/transactions,backend,transactions,,,no,unknown,unknown,unknown,high,yes,https://github.com/mitf-dev-space/mitf-transactions-transactionshubapi,planned,Central transactions hub; high coupling.
BE4,OutBoundAPI,mitf-outboundapi,http://10.10.20.51/back-end/other-projects/cub3/outboundapi,back-end/other-projects/cub3,backend,backend-other,,,no,unknown,unknown,unknown,medium,yes,https://github.com/mitf-dev-space/mitf-outboundapi,planned,Cub3 outbound API; verify cub3 coupling.
BE4,Mitf.BillAggregator,mitf-billaggregator,http://10.10.20.51/back-end/other-projects/mitf.billaggregator,back-end/other-projects,backend,backend-other,,,no,unknown,unknown,unknown,medium,yes,https://github.com/mitf-dev-space/mitf-billaggregator,planned,Bill aggregation; external provider contracts.
